Company Name,Job Title / Department (Aug 16-29 where public),Location / Vacancy Info,Walk-in or Direct Vacancy,Official / Public Apply or Contact Source,Public Recruitment / Careers Email,Public Phone,Eligibility / Salary,Two-Year QA Tablet Profile Match,Research Note
Albert David Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.albertdavidindia.com/career.php,albertdavid@adlindia.in,"+91 33 2230-2330, https://www.albertdavidindia.com/career.php",Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Alembic Pharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://alembicpharmaceuticals.com/careers ; https://alembicpharmaceuticals.com/contact-us,careers@alembic.co.in,+91-265-663 7000 (https://alembicpharmaceuticals.com/contact-us),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Alivus Life Sciences Ltd.,"Walk-in interview held on 08 August 2026 for Production (Officer: 2-5 years), Quality Assurance (Officer - QA Investigations: 1-3 years; Senior Officer - QA Vendor Qualification: 4-6 years), Quality Control (Officer/Senior Officer: 1-5 years), and Safety (EHS) at Ankleshwar, Gujarat facility.",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmabharat.org/alivus-life-sciences-hiring-for-production-safety-ehs-quality-assurance-quality-control/ ; https://www.alivus.com/,prajet.khule@alivus.com,Not publicly verified,Experience: 1–6 years (Officer – Production: 2–5 years; Officer – QA: 1–3 years; Senior Officer – QA: 4–6 years; Officer/Senior Officer – QC: 1–5 years). Qualification: B.Sc / M.Sc in Chemistry. Salary/CTC: Not publicly stated.,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Alkem Laboratories Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmawisdom.co.in/alkem-laboratories-walk-in-interviews-production-qc-departments-on-14th-aug-2026/,hrbaddi@alkem.com,+91 9857417569 (Source: https://pharmawisdom.co.in/alkem-laboratories-walk-in-interviews-production-qc-departments-on-14th-aug-2026/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Alniche Life Sciences Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.facebook.com/AlnicheIndia/posts/elated-to-share-the-great-news-of-unveiling-the-new-office-in-delhithis-initiati/2146155875549414/,bpsahoo.alniche@gmail.com,+91-9338808339 https://www.facebook.com/AlnicheIndia/,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Alniche Lifesciences,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://in.linkedin.com/company/alniche-life-sciences-pvt-ltd,career@alniche.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Alteus Biogenics Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.facebook.com/alteusbiogenicsindia/posts/were-hiring-join-team-alteus-are-you-passionate-about-building-impactful-brands-/1184553496803202/,alteushr@alteus.co.in; directorall@alteus.in,+91 6289616672 (https://www.facebook.com/alteusbiogenicsindia/posts/were-hiring-join-team-alteus-are-you-passionate-about-building-impactful-brands-/1184553496803202/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Amneal Pharmaceuticals,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.linkedin.com/posts/chandani-daswani-3341a223_productionosd-manufacturingosd-tabletcapsules-activity-7194566670613417985-kI49,chandanid@amneal.com; jyoti.parmar@amneal.com; priyar.sharma@amneal.com,Not publicly verified,0–5 years (Apprentices: 0–1 yrs; Officers/Executives: 1–5 yrs); salary/CTC not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Amneal Pharmaceuticals (Matoda),"Manufacturing Officer/Operator (2-6 years) & Manufacturing Apprentice (Freshers) walk-in interview held on August 13, 2026; Aseptic Operator, Packing Operator & Packing Supervisor (3-9 years) walk-in drive held on August 14, 2026 at SEZ Matoda facility, Ahmedabad, Gujarat.",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmabharat.com/amneal-pharma-is-hiring-for-manufacturing-packing/ ; https://pharmabharat.org/amneal-pharmaceuticals-hiring-for-freshers-manufacturing-apprentice/ ; https://india.amneal.com/careers/,career.matoda@amneal.com; chandanid@amneal.com; jyoti.parmar@amneal.com,Not publicly verified,"Experience: 2 to 9 years (and freshers for apprenticeship); Qualification: B.Pharm, M.Pharm, M.Sc., Diploma, ITI, BA, B.Com, B.Sc.; Salary/CTC: Not publicly stated",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Amoli Organics Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmawisdom.co.in/amoli-organics-openings-for-r-d-officer-sr-officer-executive-submit-resume-to-hr-email/,amoli.hr@amoliindia.com,+91 22 66214715 (https://www.amoliindia.com/privacy-policy),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Aneta Pharmaceuticals,"Not verified (Walk-in held on August 9, 2026; no explicit Aug 16–29, 2026 QA/IPQA/Production/OSD vacancy evidenced)",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmastuff.org/job/aneta-pharmaceutical-production-qc-engineering ; https://www.jobavailables.com/2026/08/aneta-pharmaceuticals-jobs-in-ahmedabad.html ; https://anetapharma.com/career/,hr@anetapharma.com,+91 7575809274 (Source: https://pharmastuff.org/job/aneta-pharmaceutical-production-qc-engineering); Toll-free: 1800 572 1008 (Source: https://anetapharma.com/career/),"Experience: 0–5 years; Qualification: B.Pharm, M.Pharm, B.Sc, M.Sc, ITI, 10th Pass; Salary/CTC: Fresher roles ₹2.2–₹3.5 LPA, Officer positions ₹3.5–₹6.5 LPA, Senior Officer ₹5.5–₹8.5 LPA, Technician ₹2.5–₹5.0 LPA",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Annora Pharma Pvt. Ltd.,"Walk-in interview on 16 August 2026 for Formulation OSD Unit across Production, QA, QC, Packing, and Engineering departments (Source: https://www.instagram.com/reel/DZSc9QuP-Dc/)",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.instagram.com/reel/DXvK669Iaeq/?hl=en,hr@annorapharma.com,9121185330 - https://www.instagram.com/reel/DXvK669Iaeq/?hl=en,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Anuh Pharma Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmastuff.org/job/anuh-pharma-regulatory-affairs-officer,nilesh@anuhpharma.com,"9867112309, 7507403418 - https://pharmastuff.org/job/anuh-pharma-regulatory-affairs-officer",Freshers; Salary: As per industry standards,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Apex Laboratories Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmabharat.com/apex-laboratories-is-hiring-freshers-for-production-qa-and-qc-roles/,srinivasan.hr@apexlab.com,7373296905 / 9597168805 (https://pharmabharat.com/apex-laboratories-is-hiring-freshers-for-production-qa-and-qc-roles/),Experience: Freshers; Salary: ₹1.8 LPA – ₹3.0 LPA (https://pharmabharat.com/apex-laboratories-is-hiring-freshers-for-production-qa-and-qc-roles/),Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Apotex Research Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Executive: B.Pharm/M.Pharm with 4–6 years experience; Lead Executive: B.Pharm/M.Pharm with 8–10 years experience in Oral Solid Dosage (OSD) and QMS. Salary/CTC: Not publicly stated.,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Apothecon Pharmaceuticals Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.pharmatutor.org/content/november-2025/hiring-for-osd-manufacturing-qc-adl-at-apothecon-pharmaceuticals,hrd@apotheconpharma.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Aristo Pharmaceuticals Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Arlak Biotech Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,+91 9816048837 https://www.linkedin.com/posts/arlakbiotech-pvt-ltd_arlakbiotech-pcdsalesmanager-job-activity-7284468651229958144-onPH,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Arlak Corazon Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,+91-7087571536 (https://www.arlakcorazon.com/contact-us),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Arlak Life Science Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.facebook.com/ayurvedaarlak/posts/were-hiringpcd-sales-managerqualifications-proven-sales-experience-team-manageme/1109192197918240/,hrarlakbiotech@gmail.com,+91-7087571536 (https://www.facebook.com/ayurvedaarlak/posts/were-hiringpcd-sales-managerqualifications-proven-sales-experience-team-manageme/1109192197918240/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Arvind Remedies Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Aspiro Pharma Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.aspiropharma.com/careers.php,careers@aspiropharma.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Astra Labs Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
AstraZeneca Pharma India Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.astrazeneca.in/contact-us.html,myhr.india@astrazeneca.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Aura Lifecare Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmastuff.org/job/aura-lifecare-quality-control-officer ; https://auralifecare.com/career/ ; https://www.instagram.com/p/DWVlxSTEZ3u/,hr1@auralifecare.com; hr@auralifecare.com,+91 92654 50586 (Source: https://auralifecare.com/career/),"B.Sc., M.Sc., B.Pharm, or M.Pharm with 2+ years of experience; estimated salary ₹3.5–5.8 LPA (Source: https://pharmastuff.org/job/aura-lifecare-quality-control-officer)",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Aurigene Pharmaceutical Services Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://careers.aurigeneservices.com/aurigeneservices/,contactapsl@aurigeneservices.com,"APAC: +91 83742 33288, North America: +1 617 821 0595, EU: +32 471 808710 (https://careers.aurigeneservices.com/aurigeneservices/)",Eligibility: M.Sc. Organic Chemistry with 2–14 years experience (Walk-in on 16 August 2026 for Medicinal Chemistry); Salary/CTC: Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Aurobindo Pharma Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.aurobindo.com/contact-us ; https://company.naukri.com/aurobindo-pharma-jobs/contact-us.html ; https://pharmanika.com/aurobindo-pharma-walk-in-drive-2026-pharma-jobs/,hr@aurobindo.com,+91 (40) 6672 5000 - https://www.aurobindo.com/contact-us,"Experience: 2 to 8 years; Qualification: B.Sc, M.Sc, B.Pharm, M.Pharm, Diploma; Salary/CTC: Not publicly stated",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Avik Pharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://avikpharma.com/contact-us/,avikpharma@avikpharma.com,+91 7304073072 (https://avikpharma.com/contact-us/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Bal Pharma Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.balpharma.com/career,hr@balpharma.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Balaji Amines Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.balajiamines.com/careers.php,hr@balajiamines.com,Not publicly verified,Panel Operator - Production: 2 to 4 years; Field Operator: 0-2 years; Safety Officer: 1-3 years; Environment Officer: 0-5 years. Salary: Not publicly stated.,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Baxter India Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,+91-124-4500200 (https://www.baxter.in/contact-us),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Bec Chemicals Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://in.linkedin.com/company/bec-chemicals,teamhr@becchemicals.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Bengal Chemicals & Pharmaceuticals Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://bengalchemicals.co.in/contact/,tapas.banerjee@bengalchemicals.co.in,+91(033)-2237-1525 / 1526 (https://bengalchemicals.co.in/contact/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Bharat Parenterals Ltd.,"Walk-in interview on August 17th and 18th, 2026 (10:00 AM to 4:00 PM) at Bharat Parenterals Limited, Vadodara, Gujarat, featuring QA (IPQA: 1-3 years experience for B.Pharm/M.Pharm), Tablet & Capsules OSD Production (Trainee Executive: 1-6 years; Beta Lactam Junior Officer: 0-3 years), QC, Engineering, and Regulatory Affairs roles.",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.bplindia.in/lifebpl.html ; https://www.bplindia.in/contact.html ; https://dmc-education.com/2026/08/14/bharat-parenterals-limited-recruitment-2026-walk-in-interview-for-engineering-pharma-qa-qc-regulatory-affairs-jobs/ ; https://pharmajobalert.in/freshers-experience-walk-in-on-17th-aug-18th-aug-2026-monday-tuesday-at-bharat-parenterals-ltd/,hr@bplindia.in; recruitment@bplindia.in,+91 99099 28332 (Source: https://www.bplindia.in/lifebpl.html),"Experience: 0 to 12 years (specifically 1-3 years for QA/IPQA, 0-3 years for Tablet & Capsules OSD, 1-6 years for Trainee Executive Tablet & Capsules); Qualifications: B.Pharm, M.Pharm, B.Sc, M.Sc, Diploma, ITI, B.E., B.Com, MBA; Salary/CTC: Not publicly stated.",Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Bharat Serums and Vaccines Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.linkedin.com/posts/bharat-serums-%26-vaccines-limited_bsv-pharmacareers-recruitment-activity-7335600237610217472-QjAr,careers@bsvgroup.com,+91-22-4504 3456 (https://bsvgroup.com/contact-us/),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Biocon Ltd.,"Walk-in Interview on 16 August 2026 at Semicon Park, Biocon House, Bengaluru for roles in Engineering & Maintenance (Injectables and OSD - Compression, Granulation, Blister Packing), Instrumentation & Automation, Central Engineering, and Drug Product Fill Finish (Aseptic Manufacturing, Isolator, Lyophilizer, Packaging, Visual Inspection). Source: https://pharmabharat.com/biocon-is-hiring-for-engineering-maintenance-drug-product-fill-finish/",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,+91 80 2808 2808 / +91 80 4014 4014 (https://www.biocon.com/more/contact-us/),3–14 Years; Salary/CTC not publicly stated.,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Biological E Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.biologicale.com/careers.html,careers@biologicale.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Biophar Lifesciences Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.biopharlifesciences.co.in/career,hrbiophar34@gmail.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Bliss GVS Pharma Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://in.linkedin.com/posts/rutuja-sankhe-9961a2179_interested-candidates-may-share-their-profiles-activity-6909012994119077889-axOc,hr1500@blissgvs.com,+91 (22) 2856 3930 - https://blissgvs.com/contact-us,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Blue Cross Laboratories Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,2–3 years (Product Manager) and 2–5 years (Deputy Medical Manager); Salary/CTC: Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Boehringer Ingelheim India Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Brawn Laboratories Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmastuff.org/job/brawn-laboratories-dra-officer-recruitment-for-bpharm-mpharm,talentacq@brawnlabs.in,+91 8130266355 (https://pharmastuff.org/job/brawn-laboratories-dra-officer-recruitment-for-bpharm-mpharm),Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Bristol Myers Squibb India Pvt. Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,Not publicly verified,Not publicly verified,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Cactus Communications (Cactus Life Sciences / Cactus Healthcare),Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://cactusglobal.com/careers/,ta@cactusglobal.com,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Cadila Healthcare Ltd. (Zydus Lifesciences Ltd.),"Zydus Lifesciences Ltd. (Cadila Healthcare Ltd.) Walk-In Interview on August 17, 2026 for Quality Assurance (IPQA Staff), Production (Granulation/Compression), Packing, and Engineering roles at Baddi, Himachal Pradesh; and August 19, 2026 for Production and Engineering roles at Ankleshwar, Gujarat.",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://zyduslife.com/career.html,bhagyesh.r@zyduslife.com,Not publicly verified,0-5 years experience; salary not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Cadila Pharmaceuticals Ltd.,"Virtual Drive for Quality Assurance (IPQA, Market Complaint, TTD, Process Validation, CSV-IT) on August 18, 2026",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://pharmabharat.org/cadila-pharmaceuticals-hiring-for-quality-assurance/,sanjay.makwana@cadilapharma.com,+91 8347434234 (https://pharmabharat.org/cadila-pharmaceuticals-hiring-for-quality-assurance/),B.Pharm / M.Pharm / M.Sc / MCA with 1–12 years formulation experience; Salary: Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Caplin Point Laboratories Ltd.,Not publicly verified,See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://www.linkedin.com/posts/caplin-point-laboratories-ltd_hiring-hiringnow-pharma-activity-6986654819776167936-gMN0,careers@caplinpoint.net,Not publicly verified,Not publicly stated,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
Celon Laboratories Pvt. Ltd.,"Production – OSD (Oral Solid Dosage), Production – Injectables, Visual Inspection, Packing on August 16, 2026",See cited source(s); not every company had a current vacancy,See source; Not publicly verified where no role/date was found,https://celonlabs.com/careers/,career@celonlabs.com,Not publicly verified,Experience: 3 to 15 Years; Salary: Best in the Industry,Review date/role above; not automatically inferred,Source-cited public contact directory. Reconfirm current vacancy directly with company before applying.
