Company Name,Public HR / Careers / Recruitment Email,Public Source URL,Public Phone Text (if available),August 16–29 Role / Status,Eligibility / Salary,Verification Note
Amneal Pharmaceuticals (Matoda),jyoti.parmar@amneal.com,https://pharmabharat.com/amneal-pharma-is-hiring-for-manufacturing-packing/,Not publicly verified,"Manufacturing Officer/Operator (2-6 years) & Manufacturing Apprentice (Freshers) walk-in interview held on August 13, 2026; Aseptic Operator, Packing Operator & Packing Supervisor (3-9 years) walk-in drive held on August 14, 2026 at SEZ Matoda facility, Ahmedabad, Gujarat.","Experience: 2 to 9 years (and freshers for apprenticeship); Qualification: B.Pharm, M.Pharm, M.Sc., Diploma, ITI, BA, B.Com, B.Sc.; Salary/CTC: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Amoli Organics Pvt. Ltd.,amoli.hr@amoliindia.com,https://pharmawisdom.co.in/amoli-organics-openings-for-r-d-officer-sr-officer-executive-submit-resume-to-hr-email/,+91 22 66214715 (https://www.amoliindia.com/privacy-policy),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Aneta Pharmaceuticals,hr@anetapharma.com,https://pharmastuff.org/job/aneta-pharmaceutical-production-qc-engineering,Not publicly verified,"Not verified (Walk-in held on August 9, 2026; no explicit Aug 16–29, 2026 QA/IPQA/Production/OSD vacancy evidenced)","Experience: 0–5 years; Qualification: B.Pharm, M.Pharm, B.Sc, M.Sc, ITI, 10th Pass; Salary/CTC: Fresher roles ₹2.2–₹3.5 LPA, Officer positions ₹3.5–₹6.5 LPA, Senior Officer ₹5.5–₹8.5 LPA, Technician ₹2.5–₹5.0 LPA",Public source-cited HR/careers-context contact. Confirm with company before applying.
Annora Pharma Pvt. Ltd.,hr@annorapharma.com,https://www.instagram.com/reel/DXvK669Iaeq/?hl=en,9121185330 - https://www.instagram.com/reel/DXvK669Iaeq/?hl=en,"Walk-in interview on 16 August 2026 for Formulation OSD Unit across Production, QA, QC, Packing, and Engineering departments (Source: https://www.instagram.com/reel/DZSc9QuP-Dc/)",Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Anuh Pharma Ltd.,nilesh@anuhpharma.com,https://pharmastuff.org/job/anuh-pharma-regulatory-affairs-officer,"9867112309, 7507403418 - https://pharmastuff.org/job/anuh-pharma-regulatory-affairs-officer",Not verified,Freshers; Salary: As per industry standards,Public source-cited HR/careers-context contact. Confirm with company before applying.
Apex Laboratories Pvt. Ltd.,srinivasan.hr@apexlab.com,https://pharmabharat.com/apex-laboratories-is-hiring-freshers-for-production-qa-and-qc-roles/,7373296905 / 9597168805 (https://pharmabharat.com/apex-laboratories-is-hiring-freshers-for-production-qa-and-qc-roles/),Not verified,Experience: Freshers; Salary: ₹1.8 LPA – ₹3.0 LPA (https://pharmabharat.com/apex-laboratories-is-hiring-freshers-for-production-qa-and-qc-roles/),Public source-cited HR/careers-context contact. Confirm with company before applying.
Apothecon Pharmaceuticals Pvt. Ltd.,hrd@apotheconpharma.com,https://www.pharmatutor.org/content/november-2025/hiring-for-osd-manufacturing-qc-adl-at-apothecon-pharmaceuticals,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Arlak Life Science Pvt. Ltd.,hrarlakbiotech@gmail.com,https://www.facebook.com/ayurvedaarlak/posts/were-hiringpcd-sales-managerqualifications-proven-sales-experience-team-manageme/1109192197918240/,+91-7087571536 (https://www.facebook.com/ayurvedaarlak/posts/were-hiringpcd-sales-managerqualifications-proven-sales-experience-team-manageme/1109192197918240/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Aspiro Pharma Ltd.,careers@aspiropharma.com,https://www.aspiropharma.com/careers.php,Not verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
AstraZeneca Pharma India Ltd.,myhr.india@astrazeneca.com,https://www.astrazeneca.in/contact-us.html,Not verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Aura Lifecare Pvt. Ltd.,hr1@auralifecare.com,https://pharmastuff.org/job/aura-lifecare-quality-control-officer,Not publicly verified,Not verified,"B.Sc., M.Sc., B.Pharm, or M.Pharm with 2+ years of experience; estimated salary ₹3.5–5.8 LPA (Source: https://pharmastuff.org/job/aura-lifecare-quality-control-officer)",Public source-cited HR/careers-context contact. Confirm with company before applying.
Aura Lifecare Pvt. Ltd.,hr@auralifecare.com,https://pharmastuff.org/job/aura-lifecare-quality-control-officer,Not publicly verified,Not verified,"B.Sc., M.Sc., B.Pharm, or M.Pharm with 2+ years of experience; estimated salary ₹3.5–5.8 LPA (Source: https://pharmastuff.org/job/aura-lifecare-quality-control-officer)",Public source-cited HR/careers-context contact. Confirm with company before applying.
Aurobindo Pharma Ltd.,hr@aurobindo.com,https://company.naukri.com/aurobindo-pharma-jobs/contact-us.html,Not publicly verified,Not verified,"Experience: 2 to 8 years; Qualification: B.Sc, M.Sc, B.Pharm, M.Pharm, Diploma; Salary/CTC: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Avik Pharmaceuticals Ltd.,avikpharma@avikpharma.com,https://avikpharma.com/contact-us/,+91 7304073072 (https://avikpharma.com/contact-us/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Bal Pharma Ltd.,hr@balpharma.com,https://www.balpharma.com/career,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Balaji Amines Ltd.,hr@balajiamines.com,https://www.balajiamines.com/careers.php,Not publicly verified,Not verified,Panel Operator - Production: 2 to 4 years; Field Operator: 0-2 years; Safety Officer: 1-3 years; Environment Officer: 0-5 years. Salary: Not publicly stated.,Public source-cited HR/careers-context contact. Confirm with company before applying.
Bec Chemicals Pvt. Ltd.,teamhr@becchemicals.com,https://in.linkedin.com/company/bec-chemicals,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Bengal Chemicals & Pharmaceuticals Ltd.,tapas.banerjee@bengalchemicals.co.in,https://bengalchemicals.co.in/contact/,+91(033)-2237-1525 / 1526 (https://bengalchemicals.co.in/contact/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Bharat Parenterals Ltd.,hr@bplindia.in,https://www.bplindia.in/lifebpl.html,Not publicly verified,"Walk-in interview on August 17th and 18th, 2026 (10:00 AM to 4:00 PM) at Bharat Parenterals Limited, Vadodara, Gujarat, featuring QA (IPQA: 1-3 years experience for B.Pharm/M.Pharm), Tablet & Capsules OSD Production (Trainee Executive: 1-6 years; Beta Lactam Junior Officer: 0-3 years), QC, Engineering, and Regulatory Affairs roles.","Experience: 0 to 12 years (specifically 1-3 years for QA/IPQA, 0-3 years for Tablet & Capsules OSD, 1-6 years for Trainee Executive Tablet & Capsules); Qualifications: B.Pharm, M.Pharm, B.Sc, M.Sc, Diploma, ITI, B.E., B.Com, MBA; Salary/CTC: Not publicly stated.",Public source-cited HR/careers-context contact. Confirm with company before applying.
Bharat Parenterals Ltd.,recruitment@bplindia.in,https://www.bplindia.in/lifebpl.html,Not publicly verified,"Walk-in interview on August 17th and 18th, 2026 (10:00 AM to 4:00 PM) at Bharat Parenterals Limited, Vadodara, Gujarat, featuring QA (IPQA: 1-3 years experience for B.Pharm/M.Pharm), Tablet & Capsules OSD Production (Trainee Executive: 1-6 years; Beta Lactam Junior Officer: 0-3 years), QC, Engineering, and Regulatory Affairs roles.","Experience: 0 to 12 years (specifically 1-3 years for QA/IPQA, 0-3 years for Tablet & Capsules OSD, 1-6 years for Trainee Executive Tablet & Capsules); Qualifications: B.Pharm, M.Pharm, B.Sc, M.Sc, Diploma, ITI, B.E., B.Com, MBA; Salary/CTC: Not publicly stated.",Public source-cited HR/careers-context contact. Confirm with company before applying.
Bharat Serums and Vaccines Ltd.,careers@bsvgroup.com,https://www.linkedin.com/posts/bharat-serums-%26-vaccines-limited_bsv-pharmacareers-recruitment-activity-7335600237610217472-QjAr,+91-22-4504 3456 (https://bsvgroup.com/contact-us/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Biological E Ltd.,careers@biologicale.com,https://www.biologicale.com/careers.html,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Biophar Lifesciences Pvt. Ltd.,hrbiophar34@gmail.com,https://www.biopharlifesciences.co.in/career,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Bliss GVS Pharma Ltd.,hr1500@blissgvs.com,https://in.linkedin.com/posts/rutuja-sankhe-9961a2179_interested-candidates-may-share-their-profiles-activity-6909012994119077889-axOc,+91 (22) 2856 3930 - https://blissgvs.com/contact-us,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Brawn Laboratories Ltd.,talentacq@brawnlabs.in,https://pharmastuff.org/job/brawn-laboratories-dra-officer-recruitment-for-bpharm-mpharm,+91 8130266355 (https://pharmastuff.org/job/brawn-laboratories-dra-officer-recruitment-for-bpharm-mpharm),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Cactus Communications (Cactus Life Sciences / Cactus Healthcare),ta@cactusglobal.com,https://cactusglobal.com/careers/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Cadila Pharmaceuticals Ltd.,sanjay.makwana@cadilapharma.com,https://pharmabharat.org/cadila-pharmaceuticals-hiring-for-quality-assurance/,Not publicly verified,"Virtual Drive for Quality Assurance (IPQA, Market Complaint, TTD, Process Validation, CSV-IT) on August 18, 2026",B.Pharm / M.Pharm / M.Sc / MCA with 1–12 years formulation experience; Salary: Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Caplin Point Laboratories Ltd.,careers@caplinpoint.net,https://www.linkedin.com/posts/caplin-point-laboratories-ltd_hiring-hiringnow-pharma-activity-6986654819776167936-gMN0,Not verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Celon Laboratories Pvt. Ltd.,career@celonlabs.com,https://celonlabs.com/careers/,Not publicly verified,"Production – OSD (Oral Solid Dosage), Production – Injectables, Visual Inspection, Packing on August 16, 2026",Experience: 3 to 15 Years; Salary: Best in the Industry,Public source-cited HR/careers-context contact. Confirm with company before applying.
Centaur Pharmaceuticals Pvt. Ltd.,recruitment@centaurlab.com,https://www.centaurpharma.com/careers/,+91 22 – 66499100 (https://www.centaurpharma.com/contact-us/),Not verified,"Experience: 1 to 8+ years depending on role (Research Associate 1-5 years, Regulatory Affairs 2-8+ years, Product Manager 2-4 years); Salary: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Centurion Laboratories Pvt. Ltd.,hr@centurionlaboratories.com,https://pharmastuff.org/job/centurion-laboratories-regulatory-affairs,9925531580 (https://pharmastuff.org/job/centurion-laboratories-regulatory-affairs),Not verified,"Regulatory Affairs: 2 to 5 years experience, 300,000 INR / Year salary; Production Officer: 0 to 3 years experience.",Public source-cited HR/careers-context contact. Confirm with company before applying.
Cipla Ltd.,ta.hr@cipla.com,https://www.linkedin.com/posts/cipla_were-hiring-heres-your-opportunity-to-activity-7267152411276791810-cLaS,Not publicly verified,"Not verified for August 16–29, 2026 window in Gujarat (ongoing recruitment active on careers.cipla.com)","Qualification: B.Pharm, M.Pharm, M.Sc, B.E./B.Tech; Experience: 1–5 years; Salary/CTC: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Ciron Drugs & Pharmaceuticals Pvt. Ltd.,hrd@cironpharma.com,https://pharmawisdom.co.in/ciron-drugs-walk-in-on-16th-aug-2026/,8010319276 (Source: https://pharmawisdom.co.in/ciron-drugs-walk-in-on-16th-aug-2026/),"Walk-in interview drive held on August 16, 2026 at the Boisar Injectable Plant (Tarapur) for roles including Production (Asst. Manager Injection, Officer QMS, Operator LYO, Packing, Ampoule/Vial Filling, Manufacturing), Quality Assurance (Asst. Manager IPQA, Executive Specification Reviewer, Stability Reviewer, Asst. Manager QMS), Quality Control, Engineering, Microbiology, Warehouse, and EHS.","Experience levels explicitly stated (e.g., Freshers to 4 years for officers, 2–5 years for operators, 8–10 years and 10+ years for assistant managers and managers); salary compensation details not publicly stated.",Public source-cited HR/careers-context contact. Confirm with company before applying.
Concord Biotech Ltd.,careerfdf@concordbiotech.com,https://pharmastuff.org/job/concord-biotech-production-qc-engineering-recruitment,+91 2714 671222 (https://concordbiotech.com/contact-us/),"Production (Assistant Manager, Sr. Executive, Executive, Supervisor, Officer, Granulation/Coating Operator) and Quality Control (HPLC Analyst, Dissolution & Chemical Analyst, QC Reviewer) walk-in interview on 18th August 2026 at Unit-II, Valthera, Dholka, Ahmedabad.","2–10 years experience; CTC stated as 350,000 INR/year on job posting (role-dependent).",Public source-cited HR/careers-context contact. Confirm with company before applying.
Concord Biotech Ltd.,hrfdf@concordbiotech.com,https://pharmastuff.org/job/concord-biotech-production-qc-engineering-recruitment,+91 2714 671222 (https://concordbiotech.com/contact-us/),"Production (Assistant Manager, Sr. Executive, Executive, Supervisor, Officer, Granulation/Coating Operator) and Quality Control (HPLC Analyst, Dissolution & Chemical Analyst, QC Reviewer) walk-in interview on 18th August 2026 at Unit-II, Valthera, Dholka, Ahmedabad.","2–10 years experience; CTC stated as 350,000 INR/year on job posting (role-dependent).",Public source-cited HR/careers-context contact. Confirm with company before applying.
Corel Pharma Chem,hr@corelpharmachem.com,https://www.linkedin.com/posts/corel-pharma-chem-b4761b2a3_hiring-activity-7204458093668139008-3lSr,+91-8000880011 (Official website: https://www.corelpharmachem.com/contact-us/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Corona Remedies Pvt. Ltd.,sagart@coronaremedies.com,https://www.linkedin.com/posts/sagar-thakkar-3ba1033a_join-our-team-at-corona-remedies-private-activity-7269645354088738816-aGac,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Covalent Laboratories Pvt. Ltd.,ta@covalentlab.com,https://www.covalentlab.com/careers.php,Not verified,Not verified,"Eligibility: 0 to 7 years depending on role (e.g., Production Chemist / Senior Chemist: 1–7 Years; QC Chemist: 0–5 Years; R&D Executive: 2–4 Years; ETP & Bio-ETP: 2–5 Years; Water Treatment Plant In-Charge: 5–8 Years; Production Trainee Chemist: Freshers / 0–1 Year). Salary/CTC: Not publicly stated.",Public source-cited HR/careers-context contact. Confirm with company before applying.
Cureveda,sukanya@cureveda.com,https://in.linkedin.com/in/sukanya-thakre,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Dabur India Ltd.,deepika.e@dabur.com,https://www.linkedin.com/posts/deepika-e-16b82a171_greetings-from-dabur-india-ltd-we-are-hiring-activity-7150718705293754369-CWmm,Not verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Dano Vaccines & Biologicals Pvt. Ltd.,hr@danovaccines.com,https://in.linkedin.com/company/danovac,+91 92814 43266 (https://www.danovaccines.com/careers/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Deccan Fine Chemicals,careers@deccanchemicals.com,https://www.deccanchemicals.com/media-careers/careers/,+91 40 43459999 (https://www.deccanchemicals.com/media-careers/careers/),"Production Chemist and Utility/Mechanical Engineer walk-in interview on August 23, 2026","0-12 years experience for Production Chemist, 3-12 years experience for Utility/Mechanical Engineer; Salary: Not publicly stated",Public source-cited HR/careers-context contact. Confirm with company before applying.
Deepak Nitrite Ltd.,hr@godeepak.com,https://www.godeepak.com/contact-us/,+91 265 276 5200 (https://www.godeepak.com/contact-us/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Disha Pharma (Disha Pharmaceuticals),dishapharma08@gmail.com,https://www.dishapharma.in/contact,"0755 4225757, https://www.dishapharma.in/contact",Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Divi's Laboratories Ltd.,careers@divislabs.com,https://www.divislabs.com/api-manufacturing-company/employees/,"+91 (40) 6696 6300, https://www.divislabs.com/contact/",Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Dr. Reddy's Laboratories Ltd.,springboard@drreddys.com,https://careers.drreddys.com/,Not verified,"Quality Assurance (QA) and Technical Operations/Production walk-in hiring drive held on August 16, 2026 at Leadership Academy, Bachupally, Hyderabad",3-10 years experience; Salary/CTC not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
East India Pharmaceutical Works Ltd.,careers@eastindiapharma.org,https://eastindiapharma.org/careers/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Elbrit Life Sciences Pvt. Ltd.,adhilekshmi.hr@elbrit.org,https://www.elbrit.org/job/senior-graphic-designer/,Not publicly verified,Not verified,"Regional Business Manager: 4-6 years experience, ₹7-12 Lakhs PA; Business Executive / Medical Representative: From ₹300,000 per year (Source: Glassdoor and company job listings)",Public source-cited HR/careers-context contact. Confirm with company before applying.
Elcomponics,career@elcomponics.com,https://www.elcomponics.com/contact.html,+91-120-4743300 (https://www.elcomponics.com/contact.html),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Elder Pharmaceuticals Ltd.,hr@elderpharma.com,https://www.instagram.com/elderlabs/p/Db7k3cfEn9R/,+91 9230645272 | 9317048616 (https://www.instagram.com/elderlabs/p/Db7k3cfEn9R/),Not verified,"TSO (0–6 Months Experience), ASM (2–3 Years Experience); Salary: ₹12,000 – ₹25,000 + TA/DA",Public source-cited HR/careers-context contact. Confirm with company before applying.
Enaltec Labs Pvt. Ltd.,hr.indore@enaltec.com,https://pharmajobsinfo.com/enaltec-labs-pvt-ltd-vacancy/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Endoc Lifecare,hrd@endocpharma.com,https://pharmajobspost.in/endoc-lifecare-pvt-ltd-announces-hiring-for-qa-qc-officer-executive-positions-apply-now/,+91 98750 91526 (https://pharmajobspost.in/endoc-lifecare-pvt-ltd-announces-hiring-for-qa-qc-officer-executive-positions-apply-now/),Not verified,Experience: 3–6 Years; Salary: Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Eon Meditech Pvt. Ltd.,hrd@eonmeditech.com,https://eonmeditech.com/career,+91 0261 249 4330 (https://eonmeditech.com/career),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Eris Lifesciences Ltd.,hr.communication@erislifesciences.com,https://eris.co.in/contact-us/,+91-79-69661000 (https://eris.co.in/contact-us/),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Eugia Pharma Specialities Ltd.,eugiacareers@eugiapharma.com,https://www.eugiapharma.com/contact,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Exemed Pharmaceuticals Pvt. Ltd.,recruitment@exemedpharma.com,https://www.exemedpharma.com/home/contact-us,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Famy Care Ltd.,hr@famycare.com,https://pharmatimesofficial.com/project/email-ids-of-hr-representatives-in-pharma-organizations/,Not publicly verified,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Farbe Firma,hr@farbefirma.com,https://farbefirma.com/careers/,+91 9998088767 (https://www.farbefirma.org/contact),"Production and QA roles with application deadline August 20, 2026 (Source: https://www.instagram.com/p/DSHiQ21gpB8/)",Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Farmson Basic Drugs Pvt. Ltd.,recruitment@farmson.com,https://in.linkedin.com/company/farmson-basic-drugs-private-limited,+91 7227060620 - https://in.linkedin.com/company/farmson-basic-drugs-private-limited,Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
FDC Ltd.,sushil.kumar@fdcindia.com,https://pharmanika.com/pharma-freshers-job-fdc-limited-careers-2026/,9736880100 (https://pharmanika.com/pharma-freshers-job-fdc-limited-careers-2026/),Not verified,"Trainee Apprentice (Fresher): Stipend ₹15,000/- per month; experienced roles (1–10 years experience for Production, QC, and QA): Salary not publicly stated (eligibility: B.Pharm, M.Pharm, M.Sc Chemistry, 12th + ITI)",Public source-cited HR/careers-context contact. Confirm with company before applying.
Finecure Pharmaceuticals Ltd.,career@finecurepharma.com,https://www.finecurepharma.com/join-our-team/,+91 79-49030903 (https://www.finecurepharma.com/contact-us/),Not verified,2–6 years experience required for production/manufacturing roles; Salary/CTC: Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
Flemingo Pharma Pvt. Ltd. (Flamingo Pharmaceuticals Ltd.),hr@flamingopharma.com,https://pharmabharat.com/flamingo-pharmaceuticals-hiring-for-row-regulatory-affairs/,+91-22-33107500 (https://flamingopharma.com/contact-us/),Not verified,Experience: 0–1 Year; Salary: ₹3.2 – ₹4.5 LPA (Estimated) (Source: https://pharmabharat.com/regulatory-affairs-trainees-at-flamingo-pharmaceuticals-freshers/),Public source-cited HR/careers-context contact. Confirm with company before applying.
Fresenius Kabi India Pvt. Ltd.,careers@fresenius-kabi.com,https://www.fresenius-kabi.com/us/careers,+91 124 4885000 (https://www.fresenius-kabi-oncology.com/contact),Not verified,Not publicly stated,Public source-cited HR/careers-context contact. Confirm with company before applying.
