"Company","Role","Department","Location","Route","Eligibility","Salary","2-year match","Match score","Public source URL"
"Unichem Laboratories","Quality Assurance (QA), Quality Control (QC), Production, and Materials (Officer, Sr. Officer, Technician positions) walk-in interview drive on August 23, 2026 at Grace Majestic, Margao, Goa.","QA / IPQA","Goa","walk_in","1 to 3 years experience required; salary/CTC not publicly stated.","1 to 3 years experience required; salary/CTC not publicly stated.","No","46","https://www.jobavailables.com/2026/08/unichem-laboratories-walk-in-interview.html"
"Eugia Pharma Specialities","QA / IPQA","Quality Assurance - IPQA","Hyderabad, Telangana","walk_in","B.Pharm / M.Pharm; 1-3 years QA experience","","Yes","46","https://pharmanika.com/eugia-pharma-qa-jobs-walk-in-hyderabad-2026/"
"Otsuka Pharmaceutical India .","Walk-In Interview on 22nd August 2026 for Quality Assurance and Quality Control at Ahmedabad, Gujarat","QA / IPQA","Ahmedabad, Gujarat","walk_in","Experience: 2 to 6 Years; Qualification: B.Sc. / B.Pharm. / M.Sc. / M.Pharm; Salary/CTC: Not publicly stated","Experience: 2 to 6 Years; Qualification: B.Sc. / B.Pharm. / M.Sc. / M.Pharm; Salary/CTC: Not publicly stated","No","46","https://otsukapharma.in/career-opi/"
"Lyka Labs","QA, QC & Production (Lyo Operator) vacancy verified for walk-in interview on August 11, 2026 at Ankleshwar, Gujarat (Aug 16–29 window: Not verified)","QA / IPQA","Ankleshwar, Gujarat","walk_in","B.Sc, M.Sc, B.Pharm, M.Pharm, ITI with 1 to 13 years of experience (IPQA Officer: 1–3 years; QC HPLC: 1–5 years; QMS Executive: 1–5 years; Lyo Operator: Freshers); Salary: ₹2.4 LPA – ₹12 LPA","B.Sc, M.Sc, B.Pharm, M.Pharm, ITI with 1 to 13 years of experience (IPQA Officer: 1–3 years; QC HPLC: 1–5 years; QMS Executive: 1–5 years; Lyo Operator: Freshers); Salary: ₹2.4 LPA – ₹12 LPA","No","38","https://pharmastuff.org/job/lyka-labs-walk-in-qc-qa-production"
"Alivus Life Sciences","Walk-in interview held on 08 August 2026 for Production (Officer: 2-5 years), Quality Assurance (Officer - QA Investigations: 1-3 years; Senior Officer - QA Vendor Qualification: 4-6 years), Quality Control (Officer/Senior Officer: 1-5 years), and Safety ","QA / IPQA","See cited source(s); not every company had a current vacancy","walk_in","Experience: 1–6 years (Officer – Production: 2–5 years; Officer – QA: 1–3 years; Senior Officer – QA: 4–6 years; Officer/Senior Officer – QC: 1–5 years). Qualification: B.Sc / M.Sc in Chemistry. Salary/CTC: Not publicly stated.","Experience: 1–6 years (Officer – Production: 2–5 years; Officer – QA: 1–3 years; Senior Officer – QA: 4–6 years; Officer/Senior Officer – QC: 1–5 years). Qualification: B.Sc / M.Sc in Chemistry. Salary/CTC: Not publicly stated.","No","38","https://pharmabharat.org/alivus-life-sciences-hiring-for-production-safety-ehs-quality-assurance-quality-control/"
"Cadila Pharmaceuticals","Virtual Drive for Quality Assurance (IPQA, Market Complaint, TTD, Process Validation, CSV-IT) on August 18, 2026","QA / IPQA","See cited source(s); not every company had a current vacancy","unverified","B.Pharm / M.Pharm / M.Sc / MCA with 1–12 years formulation experience; Salary: Not publicly stated","B.Pharm / M.Pharm / M.Sc / MCA with 1–12 years formulation experience; Salary: Not publicly stated","Yes","38","https://pharmabharat.org/cadila-pharmaceuticals-hiring-for-quality-assurance/"
"Accord Healthcare .","Quality Assurance (IPQA / QMS / Validation) and Manufacturing & Packing Roles (Walk-in Drive on August 16, 2026 at Sanand, Ahmedabad)","QA / IPQA","Ahmedabad, Gujarat","walk_in","Experience: 1-9 years for Manufacturing & Packing; 2-8 years for Quality Assurance (IPQA/QMS/Validation). Salary: Not publicly stated.","Experience: 1-9 years for Manufacturing & Packing; 2-8 years for Quality Assurance (IPQA/QMS/Validation). Salary: Not publicly stated.","No","38","https://www.accord-healthcare.com/ie/life-and-careers-accord"
"Ciron Drugs & Pharmaceuticals .","Walk-in interview drive held on August 16, 2026 at the Boisar Injectable Plant (Tarapur) for roles including Production (Asst. Manager Injection, Officer QMS, Operator LYO, Packing, Ampoule/Vial Filling, Manufacturing), Quality Assurance (Asst. Manager IP","QA / IPQA","See cited source(s); not every company had a current vacancy","walk_in","Experience levels explicitly stated (e.g., Freshers to 4 years for officers, 2–5 years for operators, 8–10 years and 10+ years for assistant managers and managers); salary compensation details not publicly stated.","Experience levels explicitly stated (e.g., Freshers to 4 years for officers, 2–5 years for operators, 8–10 years and 10+ years for assistant managers and managers); salary compensation details not publicly stated.","No","38","https://pharmawisdom.co.in/ciron-drugs-walk-in-on-16th-aug-2026/"
"Claris Otsuka .","Quality Assurance / Quality Control Process Incharge / Sr. Process Incharge walk-in interview on August 22, 2026","QA / IPQA","See cited source(s); not every company had a current vacancy","walk_in","2 to 6 Years experience; Salary not publicly stated","2 to 6 Years experience; Salary not publicly stated","No","38","https://otsukapharma.in/career-opi/"
"Ipca Laboratories","Walk-in interview on 16 August 2026 for Production, Pilot Plant, Engineering & QC (Apprentice/Trainee/Chemist/Technician/Officer/Sr. Officer); Walk-in interview on 23 August 2026 for Bio-manufacturing roles in QA (5-9 yrs), QC (5-9 yrs), Drug Substance & ","QA / IPQA","See cited source(s); not every company had a current vacancy","walk_in","Experience: 0 to 12 years (specifically 1-3 years for QA QMS, 2-6 years for Aseptic Technicians, 2-12 years for Engineering & Maintenance, and 5-9 years for QA/QC Bio-manufacturing). Salary/CTC: Not publicly stated.","Experience: 0 to 12 years (specifically 1-3 years for QA QMS, 2-6 years for Aseptic Technicians, 2-12 years for Engineering & Maintenance, and 5-9 years for QA/QC Bio-manufacturing). Salary/CTC: Not publicly stated.","Yes","38","https://www.ipca.com/job-opportunities-in-pharmaceutical-companies/"
"Titan Laboratories .","Walk-in interview on 16 August 2026 for Formulation Production, Quality Assurance (QA), Quality Control (QC), and Engineering at Suba Elite Hotel, Vadodara, Gujarat","QA / IPQA","Vadodara, Gujarat","walk_in","Not publicly stated","","No","36","https://titan-lab.com/career.php"
"Cipla","Not verified for August 16–29, 2026 window in Gujarat (ongoing recruitment active on careers.cipla.com) || Capsule - Production Officer (OSD/Production) in South Goa (Verna Industrial Estate), 2–5 years experience, posted August 12, 2026 (Source: https://","","Gujarat","unverified","Qualification: B.Pharm, M.Pharm, M.Sc, B.E./B.Tech; Experience: 1–5 years; Salary/CTC: Not publicly stated || 2–5 years experience; Salary/CTC: Not publicly stated","Qualification: B.Pharm, M.Pharm, M.Sc, B.E./B.Tech; Experience: 1–5 years; Salary/CTC: Not publicly stated || 2–5 years experience; Salary/CTC: Not publicly stated","No","30","https://www.cipla.com/careers"
"Concord Biotech","Production (Assistant Manager, Sr. Executive, Executive, Supervisor, Officer, Granulation/Coating Operator) and Quality Control (HPLC Analyst, Dissolution & Chemical Analyst, QC Reviewer) walk-in interview on 18th August 2026 at Unit-II, Valthera, Dholka,","QA / IPQA","See cited source(s); not every company had a current vacancy","walk_in","2–10 years experience; CTC stated as 350,000 INR/year on job posting (role-dependent).","2–10 years experience; CTC stated as 350,000 INR/year on job posting (role-dependent).","No","30","https://pharmastuff.org/job/concord-biotech-production-qc-engineering-recruitment"
"Norex Flavours .","Quality Assurance Manager (5-8 years experience, Dhanaura, U.P., active until August 27, 2026; Source: https://bebee.com/in/jobs/quality-assurance-manager-norex-flavours-private-limited-dhanaura--talent-628544467580226348)","QA / IPQA","India — see source","unverified","Experience: 5-8 years; Salary/CTC: Not publicly stated","Experience: 5-8 years; Salary/CTC: Not publicly stated","No","28","https://www.facebook.com/norexflavours/posts/were-hiring-join-norex-flavours-private-limited-and-become-part-of-a-team-thats-/1140373448316148/"
"Mepro Pharmaceuticals .","QA – Assistant Manager (Vendor Qualification & Audit) and F&D – Officer posted on August 11, 2026","QA / IPQA","India — see source","unverified","QA – Assistant Manager: B.Pharm / M.Pharm, Minimum 8 Years experience; F&D – Officer: B.Pharm / M.Pharm, Minimum 3 Years experience. Salary/CTC: Not publicly stated","QA – Assistant Manager: B.Pharm / M.Pharm, Minimum 8 Years experience; F&D – Officer: B.Pharm / M.Pharm, Minimum 3 Years experience. Salary/CTC: Not publicly stated","No","28","https://www.linkedin.com/posts/ugrejiya-mihir-411789238_wearehiring-hiring-pharmajobs-activity-7492784268939558912-IZ-5"
"Lincoln Parenteral","QA (Officer / Sr. Officer / Executive) and Production (Officer / Sr. Officer) walk-in interview roles dated August 11–23, 2026 at Khatraj API Plant, Gandhinagar","QA / IPQA","See cited source(s); not every company had a current vacancy","walk_in","Experience: 1 to 5 Years; Salary: Not publicly stated","Experience: 1 to 5 Years; Salary: Not publicly stated","No","28","https://www.lincolnpharma.com/careers/"
"Farbe Firma","Production and QA roles with application deadline August 20, 2026 (Source: https://www.instagram.com/p/DSHiQ21gpB8/)","QA / IPQA","See cited source(s); not every company had a current vacancy","unverified","Not publicly stated","","No","28","https://farbefirma.com/careers/"
"Lincoln Pharmaceuticals","QA, QC, and Production (Officer / Sr. Officer / Executive) walk-in interviews held from August 11 to August 23, 2026 (except Thursday) at Khatraj API Plant, Gujarat","QA / IPQA","Gujarat","walk_in","Experience: 1–5 Years; Qualification and Salary/CTC: Not publicly stated","Experience: 1–5 Years; Qualification and Salary/CTC: Not publicly stated","No","28","https://www.lincolnpharma.com/contact/"
"Dr. Reddy's Laboratories","Quality Assurance (QA) and Technical Operations/Production walk-in hiring drive held on August 16, 2026 at Leadership Academy, Bachupally, Hyderabad","QA / IPQA","Hyderabad, Telangana","walk_in","3-10 years experience; Salary/CTC not publicly stated","3-10 years experience; Salary/CTC not publicly stated","No","28","https://careers.drreddys.com/"
"Vital Therapeutics & Formulations .","Walk-in interviews / recruitment drive on August 18th–19th, 2026 for production, OSD manufacturing, and technical roles at Secunderabad facility.","","India — see source","walk_in","Experience: 1–7 years; Salary/CTC: Not publicly stated.","Experience: 1–7 years; Salary/CTC: Not publicly stated.","No","28","https://pharmajobalert.in/walk-in-on-august-18th-19th-2026-itidiplomabscb-commbab-pharmmpharmb-tech-at-vital-therapeutics-and-formulations-pvt-ltd/"
"HOF Pharmaceuticals . (HOF Pharma)","IPQA Officer / Executive vacancy published on August 14, 2026 for Sanand, Ahmedabad, Gujarat facility","QA / IPQA","Ahmedabad, Gujarat","unverified","B.Pharm / M.Pharm with 1–4 years of relevant IPQA/Quality Assurance experience; Salary: Not publicly stated","B.Pharm / M.Pharm with 1–4 years of relevant IPQA/Quality Assurance experience; Salary: Not publicly stated","No","28","https://pharmajobspost.in/hof-pharma-recruitment-2026-ipqa-officer-executive-engineering-manager-jobs-in-ahmedabad/"
"Celon Laboratories .","Production – OSD (Oral Solid Dosage), Production – Injectables, Visual Inspection, Packing on August 16, 2026","","See cited source(s); not every company had a current vacancy","unverified","Experience: 3 to 15 Years; Salary: Best in the Industry","Experience: 3 to 15 Years; Salary: Best in the Industry","No","20","https://celonlabs.com/careers/"
"Amneal Pharmaceuticals (Matoda)","Manufacturing Officer/Operator (2-6 years) & Manufacturing Apprentice (Freshers) walk-in interview held on August 13, 2026; Aseptic Operator, Packing Operator & Packing Supervisor (3-9 years) walk-in drive held on August 14, 2026 at SEZ Matoda facility, A","","Ahmedabad, Gujarat","walk_in","Experience: 2 to 9 years (and freshers for apprenticeship); Qualification: B.Pharm, M.Pharm, M.Sc., Diploma, ITI, BA, B.Com, B.Sc.; Salary/CTC: Not publicly stated","Experience: 2 to 9 years (and freshers for apprenticeship); Qualification: B.Pharm, M.Pharm, M.Sc., Diploma, ITI, BA, B.Com, B.Sc.; Salary/CTC: Not publicly stated","No","10","https://pharmabharat.com/amneal-pharma-is-hiring-for-manufacturing-packing/"
"Deccan Fine Chemicals","Production Chemist and Utility/Mechanical Engineer walk-in interview on August 23, 2026","","See cited source(s); not every company had a current vacancy","walk_in","0-12 years experience for Production Chemist, 3-12 years experience for Utility/Mechanical Engineer; Salary: Not publicly stated","0-12 years experience for Production Chemist, 3-12 years experience for Utility/Mechanical Engineer; Salary: Not publicly stated","Yes","10","https://www.deccanchemicals.com/media-careers/careers/"
"Gufic Biosciences","Officer / Senior Officer – QC (Microbiology) walk-in interview on August 22, 2026 at Gufic Biosciences Limited, Plot No. 48, Smart Industrial Park, Natrip, Pithampur, Dhar, Madhya Pradesh","","See cited source(s); not every company had a current vacancy","walk_in","Experience: 2–6 years; Salary: Not publicly stated","Experience: 2–6 years; Salary: Not publicly stated","No","10","https://pharmabharat.com/gufic-biosciences-is-hiring-for-officer-senior-officer-qc-microbiology/"
"Zydus Lifesciences","Production Department Walk-In Interview on 22 August 2026 at Zydus Lifesciences Limited, Unit 1, Plot No. 291, GIDC Industrial Estate, Ankleshwar, Gujarat || Zydus Lifesciences Limited Walk-In Interview on 19th August 2026 for Production (Trainee Officer,","","Ankleshwar, Gujarat","walk_in","BSc Chemistry / Diploma Chemical for freshers (2025-2026 batches); BSc/MSc Chemistry / Diploma/BE Chemical with 2 to 7 years of experience for Executive / Senior Executive; Salary: Not publicly stated","BSc Chemistry / Diploma Chemical for freshers (2025-2026 batches); BSc/MSc Chemistry / Diploma/BE Chemical with 2 to 7 years of experience for Executive / Senior Executive; Salary: Not publicly stated","No","10","https://pharmakey.medipdf.in/zydus-pharma-jobs/"
"Sai Life Sciences","Production Professionals / Production Chemist (API) Walk-In Interview on 17 August 2026 at Hyderabad (Source: https://www.instagram.com/p/DXHqtBbkvuX/)","","Hyderabad, Telangana","walk_in","Not publicly stated","","No","8","https://sailife.com/careers/"
"Troikaa Pharmaceuticals","Quality Control / Analytical / Packing positions walk-in interview on 23 August 2026","QA / IPQA","India — see source","walk_in","Not publicly stated","","No","8","https://www.troikaa.com/careers/"
"Siflon Drugs & Pharmaceuticals .","Production & R&D Walk-In Interview on 16th August 2026 at Siflon Pharma Pvt. Ltd. Unit II (Source: https://www.instagram.com/p/DbvWRC_IZNE/)","","India — see source","walk_in","Not publicly stated","","No","8","https://siflonpharma.com/"
"SynZeal Research .","Executive - QC Walk-in Interview on 17 August 2026 at SynZeal Research Park, Rajoda, Bavla, Ahmedabad","","Ahmedabad, Gujarat","walk_in","Not publicly stated","","No","8","https://www.synzeal.com/en/career"
"Sri Krishna Pharmaceuticals","Walk-in Interview scheduled for August 18, 19, 20, and 21, 2026 at Sri Krishna Pharmaceuticals Ltd., A-35, IDA Nacharam, Hyderabad - 500 076 (Source: https://pharmacareer.in/sri-krishna-pharmaceuticals-ltd-walk-in-on-august-18-19-20-and-21-2026/)","","Hyderabad, Telangana","walk_in","Not publicly stated","","No","8","https://www.srikrishnapharma.com/careers/"
"Hikal","Officer Production walk-in / job posting on 17–19 August 2026","","See cited source(s); not every company had a current vacancy","walk_in","1–5 Yrs, 1–5.5 Lacs PA","1–5 Yrs, 1–5.5 Lacs PA","No","0","https://www.hikal.com/page/visit-us"
"Cipla","Not verified for August 16–29, 2026 window in Gujarat (ongoing recruitment active on careers.cipla.com)","","Gujarat","unverified","Qualification: B.Pharm, M.Pharm, M.Sc, B.E./B.Tech; Experience: 1–5 years; Salary/CTC: Not publicly stated","Qualification: B.Pharm, M.Pharm, M.Sc, B.E./B.Tech; Experience: 1–5 years; Salary/CTC: Not publicly stated","No","0","https://www.linkedin.com/posts/cipla_were-hiring-heres-your-opportunity-to-activity-7267152411276791810-cLaS"
